Date,County Name,Partially Covered,Fully Covered,Additional Dose
12/31/2020,Clinton,4,,
12/31/2020,Columbia,46,,
09/19/2021,Indiana,15,21,
08/22/2021,Somerset,12,13,1
12/31/2020,Elk,29,,
09/24/2021,Bedford,31,62,8
12/31/2020,Forest,1,,
12/31/2020,Franklin,93,,
12/31/2020,Fulton,1,,
12/31/2020,Greene,13,,
03/26/2021,Bucks,3007,2858,
12/31/2020,Jefferson,8,,
04/09/2021,Bucks,3171,4466,
09/16/2021,Lawrence,68,77,11
08/10/2021,Montgomery,593,552,
12/31/2020,Lycoming,24,,
09/05/2021,Lackawanna,58,68,10
03/18/2021,Warren,252,108,
02/02/2021,Elk,138,39,
04/20/2021,Cumberland,920,1243,
04/07/2021,Monroe,1687,914,
12/31/2020,Northumberland,25,,
12/31/2020,Philadelphia,177,,
10/28/2021,Greene,21,8,97
12/31/2020,Pike,33,,
12/31/2020,Potter,1,,
12/31/2020,Snyder,9,,
08/27/2021,Lackawanna,205,219,170
12/31/2020,Susquehanna,92,,
12/31/2020,Tioga,6,,
08/18/2021,Clearfield,86,67,25
12/31/2020,Venango,3,,
01/19/2021,Schuylkill,360,67,
03/09/2021,Elk,94,136,
01/11/2021,Cambria,182,231,
12/31/2020,Wyoming,21,,
01/01/2021,Adams,3,,
10/04/2021,Luzerne,170,210,302
03/22/2021,Cumberland,560,470,
06/16/2021,Washington,129,350,
01/01/2021,Blair,1,,
01/20/2021,Perry,44,29,
09/06/2021,Washington,45,53,5
09/08/2021,Delaware,329,393,93
01/01/2021,Carbon,4,,
04/18/2021,Erie,50,243,
08/10/2021,Crawford,63,37,
01/06/2021,Fayette,201,85,
01/01/2021,Elk,2,1,
02/10/2021,Lebanon,392,77,
09/25/2021,Perry,17,17,11
01/01/2021,Jefferson,3,,
01/01/2021,Juniata,3,,
12/21/2020,Bucks,678,,
10/30/2021,Mifflin,39,32,271
03/30/2021,Pike,136,148,
01/01/2021,Mckean,2,,
02/18/2021,Out-of-State,3171,1408,
10/08/2021,Fulton,5,13,5
03/02/2021,Franklin,327,416,
07/21/2021,Lycoming,86,65,
01/01/2021,Northumberland,3,,
11/16/2021,Armstrong,49,30,137
02/21/2021,Erie,2212,320,
01/01/2021,Snyder,1,,
01/29/2021,Butler,950,340,
01/01/2021,Susquehanna,4,,
05/20/2021,Westmoreland,598,977,
03/24/2021,Butler,828,1147,
06/27/2021,Lehigh,87,108,
01/02/2021,Armstrong,17,,
02/17/2021,Adams,346,320,
01/02/2021,Bedford,4,,
01/02/2021,Somerset,15,,
01/02/2021,Bradford,42,,
11/11/2021,Wayne,53,21,104
04/02/2021,Jefferson,75,43,
01/02/2021,Clearfield,25,,
01/02/2021,Clinton,3,1,
06/08/2021,Mifflin,15,49,
09/28/2021,Perry,27,26,14
10/12/2021,Wayne,27,23,74
01/02/2021,Elk,2,,
07/17/2021,Erie,94,80,
01/02/2021,Fayette,94,,
01/02/2021,Forest,2,,
01/02/2021,Fulton,3,,
01/02/2021,Huntingdon,5,,
01/02/2021,Indiana,13,,
06/26/2021,Erie,90,207,
01/02/2021,Juniata,3,,
01/02/2021,Lawrence,144,,
09/10/2021,Dauphin,215,270,51
01/02/2021,Mckean,2,,
02/10/2021,Elk,173,308,
07/16/2021,Perry,15,23,
03/17/2021,Centre,1158,195,
10/31/2021,Westmoreland,91,57,240
01/02/2021,Perry,5,,
01/02/2021,Pike,4,,
01/02/2021,Potter,2,,
06/26/2021,Franklin,74,143,
06/02/2021,Lancaster,555,963,
03/07/2021,Indiana,28,37,
01/02/2021,Susquehanna,11,,
01/02/2021,Tioga,20,,
01/02/2021,Venango,20,,
01/02/2021,Wayne,7,,
11/15/2021,Wyoming,25,3,58
01/02/2021,Wyoming,11,,
01/03/2021,Adams,9,,
05/11/2021,Lehigh,710,2432,
04/23/2021,Bucks,3461,3807,
01/03/2021,Bedford,34,,
01/03/2021,Bradford,2,,
03/23/2021,Venango,72,80,
01/03/2021,Cambria,60,,
01/03/2021,Clarion,65,,
01/03/2021,Clearfield,8,,
12/29/2020,Mckean,78,,
09/03/2021,Montgomery,489,627,202
01/03/2021,Fayette,12,,
01/03/2021,Forest,4,,
10/14/2021,Dauphin,170,154,240
01/03/2021,Fulton,3,,
01/03/2021,Huntingdon,5,,
01/03/2021,Jefferson,1,,
01/03/2021,Juniata,,1,
01/03/2021,Lawrence,3,,
07/01/2021,Butler,67,114,
09/20/2021,Westmoreland,130,205,50
06/20/2021,Berks,103,221,
03/14/2021,Franklin,40,339,
01/03/2021,Mercer,8,,
01/03/2021,Mifflin,15,,
11/11/2021,Armstrong,57,40,137
12/23/2020,Out-of-State,2425,,
01/03/2021,Pike,7,,
01/03/2021,Potter,1,,
01/03/2021,Snyder,22,4,
06/30/2021,Schuylkill,86,183,
01/03/2021,Sullivan,1,,
01/03/2021,Susquehanna,5,,
03/22/2021,Delaware,2348,1253,
01/03/2021,Warren,1,,
11/16/2021,Lebanon,138,84,214
01/31/2021,Butler,443,8,
08/10/2021,Northumberland,89,56,
01/03/2021,Wyoming,13,,
08/28/2021,Cumberland,140,167,19
01/04/2021,Bedford,32,,
01/04/2021,Bradford,48,,
06/12/2021,Westmoreland,117,461,
11/14/2021,Cameron,2,,20
01/04/2021,Cameron,21,,
